SnapshotDate,TransactionType,FTR_ID,Source,Sink,MW_Current,OriginalAcquisitionCost,MW_Previous,MW_Sold,Notes,HedgeType,StartDate,EndDate,AcquisitionCost_Previous,AcquisitionCost_Current,SaleProceeds,Profit,TradingPeriods,PricePerMW
2026-01-31,INITIAL,7497146,BEN,HAY,41.6,522752.26,,,,,,,,,,,,
2026-01-31,INITIAL,7496890,BEN,ISL,10.6,58201.63,,,,,,,,,,,,
2026-01-31,INITIAL,7497343,BEN,ISL,0.0,549.07,,,,,,,,,,,,
2026-01-31,INITIAL,7497158,BEN,ISL,0.0,3294.43,,,,,,,,,,,,
2026-01-31,INITIAL,7497615,BEN,ISL,4.5,24708.24,,,,,,,,,,,,
2026-01-31,INITIAL,7496881,BEN,ISL,29.4,160989.7,,,,,,,,,,,,
2026-01-31,INITIAL,7496892,BEN,KIK,8.7,101669.09,,,,,,,,,,,,
2026-01-31,INITIAL,7497177,BEN,KIK,0.0,5603.81,,,,,,,,,,,,
2026-01-31,INITIAL,7497152,BEN,KIK,8.8,70185.98,,,,,,,,,,,,
2026-01-31,INITIAL,7496884,BEN,OTA,1.4,26529.55,,,,,,,,,,,,
2026-01-31,INITIAL,7497154,BEN,OTA,10.3,195181.7,,,,,,,,,,,,
2026-01-31,INITIAL,7496893,BEN,OTA,12.2,249158.16,,,,,,,,,,,,
2026-01-31,INITIAL,7497145,HAY,BEN,41.9,23691.94,,,,,,,,,,,,
2026-01-31,INITIAL,7496876,HAY,BEN,0.3,169.63,,,,,,,,,,,,
2026-01-31,INITIAL,7497030,HAY,BEN,6.0,3392.64,,,,,,,,,,,,
2026-01-31,INITIAL,7497029,HAY,BEN,6.0,3392.64,,,,,,,,,,,,
2026-01-31,INITIAL,7497031,HAY,BEN,3.3,1865.95,,,,,,,,,,,,
2026-01-31,INITIAL,7497171,INV,ISL,0.0,3160.51,,,,,,,,,,,,
2026-01-31,INITIAL,7497597,INV,ISL,9.6,33712.13,,,,,,,,,,,,
2026-01-31,INITIAL,7496909,INV,ISL,4.4,15451.39,,,,,,,,,,,,
2026-01-31,INITIAL,7496867,INV,ISL,6.7,23528.26,,,,,,,,,,,,
2026-01-31,INITIAL,7497222,INV,ISL,3.0,10535.04,,,,,,,,,,,,
2026-01-31,INITIAL,7497189,INV,KIK,0.0,3615.84,,,,,,,,,,,,
2026-01-31,INITIAL,7497636,INV,WKM,0.0,3136.7,,,,,,,,,,,,
2026-01-31,INITIAL,7497582,ISL,BEN,50.0,744.0,,,,,,,,,,,,
