Point of connection,Trading date,Trading period,$/MWh,Price status
OTA2201,2026-01-30,1,3.12,Interim
OTA2201,2026-01-30,2,1.21,Interim
OTA2201,2026-01-30,3,0.02,Interim
OTA2201,2026-01-30,4,0.01,Interim
OTA2201,2026-01-30,5,0.03,Interim
OTA2201,2026-01-30,6,0.01,Interim
OTA2201,2026-01-30,7,0.01,Interim
OTA2201,2026-01-30,8,0.01,Interim
OTA2201,2026-01-30,9,0.01,Interim
OTA2201,2026-01-30,10,0.26,Interim
OTA2201,2026-01-30,11,0.93,Interim
OTA2201,2026-01-30,12,0.32,Interim
OTA2201,2026-01-30,13,1.16,Interim
OTA2201,2026-01-30,14,0.43,Interim
OTA2201,2026-01-30,15,1.04,Interim
OTA2201,2026-01-30,16,1.23,Interim
OTA2201,2026-01-30,17,1.22,Interim
OTA2201,2026-01-30,18,0.36,Interim
OTA2201,2026-01-30,19,0.2,Interim
OTA2201,2026-01-30,20,0.03,Interim
OTA2201,2026-01-30,21,0.03,Interim
OTA2201,2026-01-30,22,0.03,Interim
OTA2201,2026-01-30,23,1.23,Interim
OTA2201,2026-01-30,24,0.22,Interim
OTA2201,2026-01-30,25,0.45,Interim
OTA2201,2026-01-30,26,1.81,Interim
OTA2201,2026-01-30,27,1.84,Interim
OTA2201,2026-01-30,28,1.09,Interim
OTA2201,2026-01-30,29,1.0,Interim
OTA2201,2026-01-30,30,1.64,Interim
OTA2201,2026-01-30,31,2.94,Interim
OTA2201,2026-01-30,32,3.11,Interim
OTA2201,2026-01-30,33,3.26,Interim
OTA2201,2026-01-30,34,2.84,Interim
OTA2201,2026-01-30,35,3.19,Interim
OTA2201,2026-01-30,36,3.9,Interim
OTA2201,2026-01-30,37,7.28,Interim
OTA2201,2026-01-30,38,9.65,Interim
OTA2201,2026-01-30,39,9.72,Interim
OTA2201,2026-01-30,40,9.65,Interim
OTA2201,2026-01-30,41,9.4,Interim
OTA2201,2026-01-30,42,10.09,Interim
OTA2201,2026-01-30,43,10.62,Interim
OTA2201,2026-01-30,44,10.46,Interim
OTA2201,2026-01-30,45,3.73,Interim
OTA2201,2026-01-30,46,3.87,Interim
OTA2201,2026-01-30,47,1.85,Interim
OTA2201,2026-01-30,48,1.49,Interim
OTA2201,2026-01-29,1,0.02,Final
OTA2201,2026-01-29,2,0.01,Final
OTA2201,2026-01-29,3,0.01,Final
OTA2201,2026-01-29,4,0.02,Final
OTA2201,2026-01-29,5,0.01,Final
OTA2201,2026-01-29,6,0.01,Final
OTA2201,2026-01-29,7,0.01,Final
OTA2201,2026-01-29,8,0.01,Final
OTA2201,2026-01-29,9,0.01,Final
OTA2201,2026-01-29,10,0.15,Final
OTA2201,2026-01-29,11,0.02,Final
OTA2201,2026-01-29,12,0.52,Final
OTA2201,2026-01-29,13,1.54,Final
OTA2201,2026-01-29,14,0.79,Final
OTA2201,2026-01-29,15,1.22,Final
OTA2201,2026-01-29,16,1.19,Final
OTA2201,2026-01-29,17,1.19,Final
OTA2201,2026-01-29,18,0.97,Final
OTA2201,2026-01-29,19,0.59,Final
OTA2201,2026-01-29,20,0.37,Final
OTA2201,2026-01-29,21,0.49,Final
OTA2201,2026-01-29,22,0.86,Final
OTA2201,2026-01-29,23,1.07,Final
OTA2201,2026-01-29,24,0.74,Final
OTA2201,2026-01-29,25,0.87,Final
OTA2201,2026-01-29,26,0.49,Final
OTA2201,2026-01-29,27,0.71,Final
OTA2201,2026-01-29,28,1.19,Final
OTA2201,2026-01-29,29,1.2,Final
OTA2201,2026-01-29,30,1.24,Final
OTA2201,2026-01-29,31,1.25,Final
OTA2201,2026-01-29,32,1.26,Final
OTA2201,2026-01-29,33,1.26,Final
OTA2201,2026-01-29,34,1.36,Final
OTA2201,2026-01-29,35,1.28,Final
OTA2201,2026-01-29,36,1.52,Final
OTA2201,2026-01-29,37,1.85,Final
OTA2201,2026-01-29,38,3.82,Final
OTA2201,2026-01-29,39,10.34,Final
OTA2201,2026-01-29,40,10.45,Final
OTA2201,2026-01-29,41,8.2,Final
OTA2201,2026-01-29,42,10.04,Final
OTA2201,2026-01-29,43,12.13,Final
OTA2201,2026-01-29,44,9.24,Final
OTA2201,2026-01-29,45,3.69,Final
OTA2201,2026-01-29,46,1.22,Final
